CourseID,CourseName,CourseCategory,CourseType,CourseLevel
C0073,Brand Management,Marketing,Self-Paced,Advanced
C0074,Digital Marketing Fundamentals,Marketing,Self-Paced,Beginner
C0075,Digital Marketing Fundamentals,Marketing,Self-Paced,Beginner
C0076,Japanese Basics,Language Learning,Instructor-Led,Intermediate
C0077,Japanese Basics,Language Learning,Self-Paced,Intermediate
C0078,French Conversation Practice,Language Learning,Self-Paced,Intermediate
C0079,French Conversation Practice,Language Learning,Instructor-Led,Intermediate
C0080,Business English,Language Learning,Self-Paced,Intermediate
C0081,French Conversation Practice,Language Learning,Self-Paced,Intermediate
C0082,Japanese Basics,Language Learning,Instructor-Led,Beginner
C0083,Spanish for Beginners,Language Learning,Instructor-Led,Intermediate
C0084,Business English,Language Learning,Instructor-Led,Beginner
C0085,Spanish for Beginners,Language Learning,Self-Paced,Beginner
C0086,Spanish for Beginners,Language Learning,Self-Paced,Intermediate
C0087,Business English,Language Learning,Self-Paced,Beginner
C0088,Business English,Language Learning,Cohort-Based,Beginner
C0089,Business English,Language Learning,Self-Paced,Intermediate
C0090,Japanese Basics,Language Learning,Self-Paced,Intermediate
C0091,Time Management Mastery,Personal Development,Self-Paced,Intermediate
C0092,Time Management Mastery,Personal Development,Self-Paced,Beginner
C0093,Mindfulness & Productivity,Personal Development,Cohort-Based,Beginner
C0094,Time Management Mastery,Personal Development,Self-Paced,Beginner
C0095,Public Speaking Confidence,Personal Development,Cohort-Based,Intermediate
C0096,Mindfulness & Productivity,Personal Development,Cohort-Based,Intermediate
C0097,Public Speaking Confidence,Personal Development,Cohort-Based,Intermediate
C0098,Mindfulness & Productivity,Personal Development,Self-Paced,Beginner
C0099,Career Planning,Personal Development,Self-Paced,Beginner
C0100,Time Management Mastery,Personal Development,Instructor-Led,Intermediate
C0101,Public Speaking Confidence,Personal Development,Instructor-Led,Beginner
C0102,Mindfulness & Productivity,Personal Development,Instructor-Led,Intermediate
C0103,Time Management Mastery,Personal Development,Self-Paced,Beginner
C0104,Career Planning,Personal Development,Self-Paced,Intermediate
C0105,Career Planning,Personal Development,Instructor-Led,Intermediate
C0106,Personal Finance 101,Finance,Self-Paced,Beginner
C0107,Financial Modeling,Finance,Self-Paced,Advanced
C0108,Financial Modeling,Finance,Instructor-Led,Intermediate
C0109,Financial Modeling,Finance,Instructor-Led,Advanced
C0110,Investment Basics,Finance,Instructor-Led,Beginner
C0111,Personal Finance 101,Finance,Cohort-Based,Beginner
C0112,Investment Basics,Finance,Self-Paced,Beginner
C0113,Financial Modeling,Finance,Self-Paced,Beginner
C0114,Personal Finance 101,Finance,Self-Paced,Beginner
C0115,Personal Finance 101,Finance,Self-Paced,Intermediate
C0116,Accounting Fundamentals,Finance,Instructor-Led,Intermediate
C0117,Accounting Fundamentals,Finance,Self-Paced,Advanced
C0118,Financial Modeling,Finance,Self-Paced,Beginner
C0119,Investment Basics,Finance,Instructor-Led,Intermediate
C0120,Personal Finance 101,Finance,Self-Paced,Beginner
